query,docid,rating
xs 550,,
Xc 900,,
Wii u,636872888,0
Wii u,639297481,2
Wii u,634111400,2
Wii u,632059382,2
Wii u,639908423,3
Wii u,639915287,3
Wii u,639464941,3
Wii u,639419328,3
Wii u,639208761,3
Wii u,640094814,2
Wii u,639971274,2
Wii u,639032604,3
Wii u,639851225,3
Wii u,639881610,3
Wii u,638486758,3
warhammer,639605527,2
warhammer,639240626,2
warhammer,639240477,2
warhammer,639902989,2
warhammer,639037066,2
warhammer,639042888,2
warhammer,639029875,2
warhammer,639010589,2
warhammer,639031723,2
warhammer,639008555,2
warhammer,639006743,2
volkswagen golf,639717180,3
volkswagen golf,636872996,3
volkswagen golf,636432869,3
volkswagen golf,631992944,3
volkswagen golf,631978083,3
volkswagen golf,624803228,3
volkswagen golf,622944234,3
volkswagen golf,619099943,3
volkswagen golf,605043119,3
volkswagen golf,592762488,3
volkswagen golf,640025110,3
volkswagen golf,618191909,3
volkswagen golf,639900827,3
volkswagen golf,629011777,3
volkswagen golf,640067431,3
volkswagen golf,639953227,3
volkswagen golf,634231386,3
volkswagen golf,640015790,3
volkswagen golf,564923695,3
volkswagen golf,596488042,3
volkswagen golf,639200061,3
volkswagen golf,639899606,3
volkswagen golf,639779629,3
volkswagen golf,640018587,3
volkswagen golf,639965863,3
volkswagen golf,640071386,3
volkswagen golf,639915096,3
volkswagen golf,639743077,3
volkswagen golf,639818809,3
volkswagen golf,640095334,3
Volkswagen caddy,617819878,3
Volkswagen caddy,594646263,3
Volkswagen caddy,531479758,3
Volkswagen caddy,637502382,3
Volkswagen caddy,627821649,3
Volkswagen caddy,599187002,3
Volkswagen caddy,581665802,3
Volkswagen caddy,575807334,3
Volkswagen caddy,524495660,3
Volkswagen caddy,505264334,3
Volkswagen caddy,495853180,3
Volkswagen caddy,639625387,3
Volkswagen caddy,606248695,3
Volkswagen caddy,639594924,3
Volkswagen caddy,639803085,3
Volkswagen caddy,611783164,3
Volkswagen caddy,588606747,3
Volkswagen caddy,639897063,3
Volkswagen caddy,634744463,3
Volkswagen caddy,639458122,3
vespino,,
Tv,640053449,3
Tv,640095214,3
Tv,640113354,3
Tv,640125239,3
Tv,639722835,3
Tv,639191001,3
Tv,639915439,3
Tv,639682726,3
Tv,639891401,3
Tv,638807536,3
Tv,639784501,0
Tv,640096660,0
Tv,640059480,0
Tv,640108264,3
Tv,640056646,3
Tv,640052146,3
Tv,637032931,0
Tv,639901007,3
Tv,639711599,3
Tv,639682822,3
Tv,639443335,3
Tv,639200400,3
Tv,639000925,3
Tv,638945880,3
Tv,638927670,3
Tintín,640051034,1
Tintín,640089804,3
Tintín,640095950,3
Tintín,640107569,3
Tintín,637468270,3
Tintín,639798987,3
Tintín,639781742,3
Tintín,639778019,3
Tintín,639695990,3
Tintín,639207812,3
Tintín,634120834,1
tienda remolque,639391624,3
tienda remolque,639431141,3
tienda remolque,639035138,2
tienda remolque,639641634,1
tienda remolque,625698576,3
tienda remolque,638534928,3
